Model,Horizon,Target,MAE,RMSE,R2
CNN-LSTM,1h,pm2_5,1.6082696914672852,3.484094309085512,0.9957866072654724
CNN-LSTM,1h,pm10,1.2555803060531616,3.164893373257133,0.9947786927223206
CNN-LSTM,6h,pm2_5,6.9637627601623535,12.420985006442663,0.9462137222290039
CNN-LSTM,6h,pm10,5.597358226776123,10.97159063611224,0.9375377297401428
CNN-LSTM,12h,pm2_5,12.248932838439941,20.321703143495228,0.8553992509841919
CNN-LSTM,12h,pm10,9.54135513305664,17.706425870001087,0.8382192254066467
CNN-LSTM,24h,pm2_5,20.103670120239258,31.33210210883709,0.6544137001037598
CNN-LSTM,24h,pm10,15.710220336914062,26.877854590402347,0.6307349801063538
