Model,Horizon,Target,MAE,RMSE,R2
LSTM,1h,pm2_5,1.477168321609497,3.3886123520078506,0.996014416217804
LSTM,1h,pm10,1.1755893230438232,3.1334127483719976,0.9948820471763611
LSTM,6h,pm2_5,6.914218425750732,12.34084098435645,0.9469056129455566
LSTM,6h,pm10,5.439254283905029,10.916411729315879,0.938164472579956
LSTM,12h,pm2_5,12.093602180480957,20.16237416047796,0.857657790184021
LSTM,12h,pm10,9.45299243927002,17.594069157851177,0.8402658700942993
LSTM,24h,pm2_5,20.294626235961914,31.321787661693556,0.6546412706375122
LSTM,24h,pm10,15.663264274597168,26.744894235643955,0.6343792676925659
